#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# U.S. Geological Survey, National Water Information System",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Surface water measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Retrieved: 2023-11-02 13:48:57 EDT     (caww02),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Further descriptions of the columns and codes used can be found at:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Data for the following 1 site(s) are contained in this file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#  USGS 08355490 RIO GRANDE ABOVE US HWY 380 NR SAN ANTONIO, NM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# -----------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist
5s,15s,6s,19d,12s,1s,12s,5s,12s,12s,12s,7s,6s,21s,15s,11n,64s,4s,5s,5s,14s,14s,14s,14s,4s,4s,4s,12s,9s,12s,7s,14s
USGS,8355490,1,7/13/2005,,Yes,ghs,USGS,28.54,329,Fair,0.01,0.9,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,329,110,105,3.13,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8355490,2,8/4/2005 8:45,MDT,Yes,ghs,USGS,27.19,14.4,Fair,0,0.7,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,14.4,20,28,0.51,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8355490,3,8/19/2005 8:45,MDT,Yes,ghs,USGS,28.12,200,Fair,0.04,0.7,,NONE,1,Imported Channel 1,WADE,unspe,unkno,200,114,117,1.71,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8355490,4,10/12/2005 15:45,MDT,Yes,ghs,USGS,28.78,366,Fair,-0.03,0.8,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,366,110,185,1.98,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8355490,5,11/3/2005 15:30,MST,Yes,ghs,USGS,29.2,525,Fair,0,1,,NONE,1,Imported Channel 1,WADE,unspe,unkno,525,118,244,2.15,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8355490,6,12/15/2005 9:00,MST,Yes,ghs,USGS,29.08,459,Fair,0.02,0.9,,NONE,1,Imported Channel 1,WADE,unspe,unkno,459,117,209,2.2,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8355490,7,2/23/2006 13:37,MST,Yes,ghs/mdc,USGS,29.48,501,Fair,0,0.9,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,501,118,268,1.87,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8355490,8,3/23/2006 16:28,MST,Yes,MDC/GHS,USGS,28.17,97.2,Fair,-0.01,0.6,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,97.2,49,82.8,1.17,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8355490,9,4/6/2006 14:15,MDT,Yes,GHS/GP,USGS,27.93,61.7,Fair,0,0.8,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,61.7,47,59.3,1.04,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8355490,10,4/27/2006 12:45,MDT,Yes,GHS,USGS,28.02,82.1,Fair,0.02,0.8,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,82.1,55,58.6,1.4,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8355490,11,6/8/2006 11:45,MDT,Yes,GHS/MDC,USGS,28.03,84.1,Fair,0,0.8,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,84.1,50.5,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8355490,12,6/21/2006 11:35,MDT,Yes,GHS,USGS,27.75,40.8,Fair,0,1.1,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,40.8,45,29.6,1.38,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8355490,13,6/23/2006 12:37,MDT,Yes,GHS,USGS,27.51,18,Fair,0,0.9,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,18,28,22.9,0.79,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8355490,14,7/17/2006 14:45,MDT,Yes,GHS,USGS,27.69,100,Fair,-0.01,0.8,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,100,62,82.8,1.21,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8355490,15,8/23/2006 8:57,MDT,Yes,mdc,USGS,30.45,3120,Poor,-0.4,1.8,,NONE,1,Imported Channel 1,CRAN,unspe,unkno,3120,160,1260,2.48,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8355490,16,9/7/2006 13:50,MDT,Yes,GHS/ GP,USGS,28.1,305,Fair,-0.07,1,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,305,112,127,2.4,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8355490,17,3/15/2007 8:19,MDT,Yes,JEB/GHS,USGS,29.86,437,Fair,0.01,1,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,437,119,261,1.67,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8355490,18,4/20/2007 8:05,MDT,Yes,JEB/GHS,USGS,30.17,699,Fair,0,1.4,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,699,116,315,2.22,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8355490,19,5/10/2007 15:05,MDT,Yes,JEB/GHS,USGS,30.77,2040,Poor,0.02,1.6,Clear,NONE,1,Imported Channel 1,CRAN,unspe,unkno,2040,150,479,4.26,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8355490,20,6/14/2007 9:54,MDT,Yes,PSM/JEB,USGS,29.88,621,Fair,0.02,1,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,621,118,297,2.09,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8355490,21,8/15/2007 16:36,MDT,Yes,PSM,USGS,27.83,28,Fair,0.02,0.4,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,28,29.8,30.9,0.91,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8355490,22,9/6/2007 8:46,MDT,Yes,JEB,USGS,28.52,136,Fair,0,0.6,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,136,97,71.9,1.86,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
