#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# U.S. Geological Survey, National Water Information System",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Surface water measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Retrieved: 2023-11-02 13:49:36 EDT     (caww02),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Further descriptions of the columns and codes used can be found at:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Data for the following 1 site(s) are contained in this file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#  USGS 08359500 RIO GRANDE AT NARROWS IN ELEPHANT BUTTE RES., NM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# -----------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist
5s,15s,6s,19d,12s,1s,12s,5s,12s,12s,12s,7s,6s,21s,15s,11n,64s,4s,5s,5s,14s,14s,14s,14s,4s,4s,4s,12s,9s,12s,7s,14s
USGS,8359500,1000,5/9/2012 8:55,MDT,Yes,AJMC,USGS,5.24,356,Fair,0.01,1,Clear,NONE,1,Imported Channel 1,WADE,QSCMM,VADV,356,112,198,1.8,FIRM,SAND,UNEV,unkn,EVEN,UNKN,DNST,100
USGS,8359500,1001,5/9/2012 10:28,MDT,Yes,AJMC,USGS,5.24,343,Fair,0,1.6,Clear,NONE,1,Imported Channel 1,WADE,QSCMM,VADV,343,108,197,1.74,FIRM,SAND,UNEV,unkn,EVEN,UNKN,DNST,100
USGS,8359500,1002,5/9/2012 12:34,MDT,Yes,AJMC,USGS,5.24,368,Fair,0.01,1.1,Unspecifed,NONE,1,Imported Channel 1,WADE,QSCMM,VADV,368,116,205,1.79,FIRM,SAND,UNEV,unkn,EVEN,UNSP,DNST,100
USGS,8359500,1003,5/17/2012 12:57,MDT,Yes,JLS,USGS,5.45,434,Good,0.02,1.4,Clear,NONE,1,Imported Channel 1,WADE,QSCMM,VADV,434,117,235,1.85,FIRM,SAND,UNEV,unkn,EVEN,UNSP,DNST,30
USGS,8359500,1004,6/5/2012 14:15,MDT,Yes,JLS,USGS,4.19,104,Good,0,1.2,Unspecifed,NONE,1,Imported Channel 1,WADE,QSCMM,VADV,104,122,85.9,1.21,SOFT,SAND,UNSP,unkn,UNEV,UNSP,DNST,50
USGS,8359500,1005,7/24/2012 12:36,MDT,Yes,jls,USGS,3.88,50.3,Good,0,0.8,Clear,NONE,1,main,WADE,QSCMM,VADV,50.3,60,50,1.01,SOFT,SAND,EVEN,unkn,EVEN,UNKN,DNST,15
USGS,8359500,1006,8/20/2012 10:39,MDT,Yes,jls,USGS,3.46,16.5,Good,0,0.4,Clear,NONE,1,main,WADE,QSCMM,VADV,16.5,46,28.2,0.58,FIRM,SAND,EVEN,unkn,EVEN,UNKN,DNST,10
USGS,8359500,1007,10/3/2012 11:36,MDT,Yes,jls,USGS,3.65,29.1,Good,0.02,0.5,Clear,NONE,1,main,WADE,QSCMM,VADV,29.1,46,37,0.79,FIRM,SAND,EVEN,unkn,EVEN,UNKN,DNST,30
USGS,8359500,1008,12/6/2012 12:58,MST,Yes,jls,USGS,5.88,548,Fair,0,1,Clear,NONE,1,main,WADE,QSCMM,VADV,548,113,280,1.96,SOFT,SAND,UNEV,unkn,UNEV,UNKN,UPST,40
