#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# U.S. Geological Survey, National Water Information System",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Surface water measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Retrieved: 2023-11-02 13:47:46 EDT     (caww01),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Further descriptions of the columns and codes used can be found at:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Data for the following 1 site(s) are contained in this file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#  USGS 08331510 RIO GRANDE AT STATE HWY 346 NEAR BOSQUE, NM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# -----------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist
5s,15s,6s,19d,12s,1s,12s,5s,12s,12s,12s,7s,6s,21s,15s,11n,64s,4s,5s,5s,14s,14s,14s,14s,4s,4s,4s,12s,9s,12s,7s,14s
USGS,8331510,1,7/15/2005 10:07,MDT,Yes,dwl,USGS,,202,Poor,,,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,202,136,153,153,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8331510,2,7/21/2005 12:13,MDT,Yes,brg,USGS,14.27,110,Poor,0,1.1,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,110,54.4,61.4,1.79,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8331510,3,8/19/2005 13:22,MDT,Yes,dwl,USGS,14.54,216,Good,0,0.5,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,216,121,140,1.54,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8331510,4,9/23/2005 12:18,MDT,Yes,dwl,USGS,13.88,40.8,Good,0,0.5,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,40.8,57.9,33,1.24,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8331510,5,2/22/2006 13:26,MST,Yes,mdc/ghs,USGS,15.85,607,Fair,0,1.5,,NONE,1,Imported Channel 1,WADE,unspe,unkno,607,171,322,1.89,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8331510,6,3/16/2006 12:58,MST,Yes,GHS,USGS,14.67,140,Fair,-0.01,0.9,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,140,123,92.6,1.51,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8331510,7,4/4/2006 12:08,MDT,Yes,GHS,USGS,14.19,51.7,Fair,-0.01,0.8,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,51.7,39,32.4,1.6,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8331510,8,4/28/2006 9:52,MDT,Yes,GHS,USGS,14.49,101,Fair,0.04,1.3,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,101,118,92.4,1.09,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8331510,9,5/23/2006 13:13,MDT,Yes,GHS,USGS,14.24,60,Fair,0,1.1,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,60,62,47.6,1.26,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8331510,10,6/9/2006 11:38,MDT,Yes,rmh/mdc,USGS,15.11,275,Fair,0.01,1,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,275,177,186,1.48,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8331510,11,3/8/2007 10:00,MST,Yes,GHS/JEB,USGS,15.9,577,Fair,0.01,1.5,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,577,142,214,1.84,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8331510,12,4/18/2007 10:46,MDT,Yes,JEB/GHS,USGS,16.01,684,Fair,-0.01,1.3,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,684,148,346,1.98,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8331510,13,6/27/2007 14:20,MDT,Yes,GHS,USGS,14.41,122,Fair,-0.03,1,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,122,68,78.1,1.57,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8331510,14,7/16/2007 10:23,MDT,Yes,JEB,USGS,14.02,43.3,Fair,0.01,0.8,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,43.3,64,42.6,1.02,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8331510,15,8/15/2007 11:45,MDT,Yes,PSM,USGS,14,54.2,Fair,0.05,1.5,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,54.2,69,55.6,0.98,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8331510,16,9/5/2007 11:51,MDT,Yes,jeb,USGS,14.3,89.9,Fair,0,0.7,,NONE,1,Imported Channel 1,WADE,unspe,unkno,89.9,134,74.5,1.21,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8331510,17,9/27/2007 12:51,MDT,Yes,PSM,USGS,14.33,104,Fair,-0.04,2,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,104,122,99.3,1.05,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8331510,18,10/30/2007 15:38,MDT,Yes,GHS,USGS,13.89,17.8,Fair,0,0.6,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,17.8,36,16.4,1.09,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8331510,19,12/7/2007 9:55,MST,Yes,GHS,USGS,16.6,926,Fair,0.05,1.5,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,926,191,443,2.09,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8331510,20,7/15/2008 14:34,MDT,Yes,mls,USGS,16.1,746,Fair,0.04,1,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,746,152,327,2.28,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8331510,21,8/4/2008 13:35,MDT,Yes,mls,USGS,14.49,141,Fair,0.02,1,DebrisLight,NONE,1,Imported Channel 1,WADE,unspe,unkno,141,142,97.2,1.45,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
