#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# U.S. Geological Survey, National Water Information System",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Surface water measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Retrieved: 2023-11-02 13:47:19 EDT     (caww01),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Further descriptions of the columns and codes used can be found at:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Data for the following 1 site(s) are contained in this file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#  USGS 08330875 RIO GRANDE AT ISLETA LAKES NR ISLETA, NM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# -----------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist
5s,15s,6s,19d,12s,1s,12s,5s,12s,12s,12s,7s,6s,21s,15s,11n,64s,4s,5s,5s,14s,14s,14s,14s,4s,4s,4s,12s,9s,12s,7s,14s
USGS,8330875,1,7/3/2003 9:50,MDT,Yes,lkm/sl,USGS,4.1,320,Good,-0.02,1.2,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,320,396,262,1.22,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8330875,2,8/14/2003 9:50,MDT,Yes,pds/lkm,USGS,3.89,163,Fair,0,1,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,163,329,155,1.05,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8330875,3,9/26/2003 10:34,MDT,Yes,pds,USGS,3.67,116,Poor,-0.01,1,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,116,294,124,0.94,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8330875,4,11/26/2003 11:23,MST,Yes,mdc,USGS,4.47,523,Fair,0.03,1.5,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,523,370,345,1.52,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8330875,5,12/15/2003 9:42,MST,Yes,mdc,USGS,4.23,389,Fair,0,0.9,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,389,334,283,1.37,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8330875,6,1/6/2004 12:25,MST,Yes,mdc,USGS,4.28,457,Fair,0.02,1.3,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,457,375,346,1.32,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8330875,7,4/30/2004 12:20,MDT,Yes,mdc,USGS,4.63,843,Good,0.04,1.4,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,843,376,522,1.61,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8330875,8,6/4/2004 12:11,MDT,Yes,mdc,USGS,4.39,654,Good,-0.02,1.5,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,654,292,426,1.54,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8330875,9,7/1/2004 12:35,MDT,Yes,mdc,USGS,4.22,485,Good,-0.02,1.3,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,485,261,288,1.68,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8330875,10,8/9/2004 12:05,MDT,Yes,blm/mdc,USGS,3.47,73.8,Fair,0,0.5,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,73.8,114,60.2,1.22,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8330875,11,9/8/2004 12:17,MDT,Yes,mdc/lkm,USGS,3.59,103,Fair,0,0.6,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,103,173,101,1.02,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
