#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# U.S. Geological Survey, National Water Information System",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Surface water measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Retrieved: 2023-11-02 13:48:23 EDT     (sdww02),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Further descriptions of the columns and codes used can be found at:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Data for the following 1 site(s) are contained in this file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#  USGS 08354900 RIO GRANDE FLOODWAY AT SAN ACACIA, NM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# -----------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist
5s,15s,6s,19d,12s,1s,12s,5s,12s,12s,12s,7s,6s,21s,15s,11n,64s,4s,5s,5s,14s,14s,14s,14s,4s,4s,4s,12s,9s,12s,7s,14s
USGS,8354900,742a,8/12/1955,,Yes,Baca,USGS,7,9280,Unspecified,,,Unspecifed,NONE,1,Imported Channel 1,UNSP,QSCMM,unkno,9280,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,743a,8/15/1955,,Yes,Burkham,USGS,7.49,12200,Unspecified,,,Unspecifed,NONE,1,Imported Channel 1,UNSP,QSCMM,unkno,12200,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,219,7/5/1957,,Yes,Baca,USGS,5.48,6900,Unspecified,,,Unspecifed,NONE,1,Imported Channel 1,UNSP,QSCMM,unkno,6900,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,247,8/7/1957,,Yes,Fitch,USGS,6.13,7810,Unspecified,,,Unspecifed,NONE,1,Imported Channel 1,UNSP,QSCMM,unkno,7810,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,248,8/8/1957,,Yes,DO,USGS,6.03,9210,Unspecified,,,Unspecifed,NONE,1,Imported Channel 1,UNSP,QSCMM,unkno,9210,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,308a,10/20/1957,,Yes,Baca,USGS,6.57,7880,Unspecified,,,Unspecifed,NONE,1,Imported Channel 1,UNSP,QSCMM,unkno,7880,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,309a,10/21/1957,,Yes,DO,USGS,7.17,9010,Unspecified,,,Unspecifed,NONE,1,Imported Channel 1,UNSP,QSCMM,unkno,9010,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,405a,5/31/1958,,Yes,DO,USGS,6.39,9220,Unspecified,,,Unspecifed,NONE,1,Imported Channel 1,UNSP,QSCMM,unkno,9220,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,86,6/2/1958,,Yes,DO,USGS,6.38,8950,Unspecified,,,Unspecifed,NONE,1,Imported Channel 1,UNSP,QSCMM,unkno,8950,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,258,9/29/1970,,Yes,DIA,USGS,2.61,7.41,Unspecified,-1,0.5,,NONE,1,Imported Channel 1,UNSP,other,,7.41,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,259,10/6/1970,,Yes,DIA,USGS,2.72,3.96,Unspecified,0,0.5,,NONE,1,Imported Channel 1,UNSP,other,,3.96,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,260,10/15/1970,,Yes,DIA,USGS,2.88,5.79,Unspecified,0,0.5,,NONE,1,Imported Channel 1,UNSP,other,,5.79,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,261,10/22/1970,,Yes,DIA,USGS,3.07,14.1,Unspecified,-0.01,0.5,,NONE,1,Imported Channel 1,UNSP,other,,14.1,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,262,10/27/1970,,Yes,DIA,USGS,3.08,3.95,Unspecified,0,0.5,,NONE,1,Imported Channel 1,UNSP,other,,3.95,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,263,11/3/1970,,Yes,DIA,USGS,3.27,3.88,Unspecified,0,0.5,,NONE,1,Imported Channel 1,UNSP,other,,3.88,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,264,11/17/1970,,Yes,DIA,USGS,3.35,2.53,Unspecified,0,0.7,,NONE,1,Imported Channel 1,UNSP,other,,2.53,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,265,11/24/1970,,Yes,DIA,USGS,3.34,1.81,Unspecified,-0.01,0.5,,NONE,1,Imported Channel 1,UNSP,other,,1.81,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,266,11/30/1970,,Yes,DIA,USGS,3.34,1.64,Unspecified,0,0.3,,NONE,1,Imported Channel 1,UNSP,other,,1.64,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,267,12/8/1970,,Yes,DIA,USGS,3.34,1.27,Unspecified,0,0.3,,NONE,1,Imported Channel 1,UNSP,other,,1.27,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,268,12/15/1970,,Yes,DIA,USGS,3.32,1.51,Unspecified,0,0.4,,NONE,1,Imported Channel 1,UNSP,other,,1.51,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,269,1/5/1971,,Yes,DIA,USGS,3.37,2.11,Poor,0,0.4,,NONE,1,Imported Channel 1,UNSP,other,,2.11,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,270,1/14/1971,,Yes,DIA,USGS,3.18,2.16,Unspecified,0,0.5,,NONE,1,Imported Channel 1,UNSP,other,,2.16,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,272,1/27/1971,,Yes,DIA,USGS,3.08,1.52,Unspecified,0,0.3,,NONE,1,Imported Channel 1,UNSP,other,,1.52,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,273,2/3/1971,,Yes,DIA,USGS,3.11,1.9,Good,0.01,0.3,,NONE,1,Imported Channel 1,UNSP,other,,1.9,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,274,2/12/1971,,Yes,DIA,USGS,3.08,1.81,Good,0,0.5,,NONE,1,Imported Channel 1,UNSP,other,,1.81,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,275,2/22/1971,,Yes,DIA,USGS,3.17,6.4,Good,0,0.4,,NONE,1,Imported Channel 1,UNSP,other,,6.4,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,276,3/3/1971,,Yes,DIA,USGS,3.11,6.89,Poor,0,0.5,,NONE,1,Imported Channel 1,UNSP,other,,6.89,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,277,3/9/1971,,Yes,DIA,USGS,2.98,4.63,Poor,0,0.5,,NONE,1,Imported Channel 1,UNSP,other,,4.63,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,278,3/25/1971,,Yes,DIA,USGS,3.08,6.53,Unspecified,0,0.5,,NONE,1,Imported Channel 1,UNSP,other,,6.53,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,279,3/30/1971,,Yes,DIA,USGS,3.19,7.75,Poor,-0.01,0.5,,NONE,1,Imported Channel 1,UNSP,other,,7.75,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,280,4/2/1971,,Yes,DIA,USGS,4.18,297,Poor,,,,NONE,1,Imported Channel 1,UNSP,other,,297,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,281,4/8/1971,,Yes,DIA,USGS,3.2,5.32,Fair,,,,NONE,1,Imported Channel 1,UNSP,other,,5.32,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,282,4/13/1971,,Yes,DIA,USGS,3.11,2.8,Fair,0,0.4,,NONE,1,Imported Channel 1,UNSP,other,,2.8,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,283,4/20/1971,,Yes,DIA,USGS,3.29,7.72,Good,0.07,0.5,,NONE,1,Imported Channel 1,UNSP,other,,7.72,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,284,4/27/1971,,Yes,DIA,USGS,3.18,4.86,Good,0,0.4,,NONE,1,Imported Channel 1,UNSP,other,,4.86,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,285,5/5/1971,,Yes,DIA,USGS,3.14,2.08,Good,0,0.4,,NONE,1,Imported Channel 1,UNSP,other,,2.08,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,286,5/11/1971,,Yes,DIA,USGS,3.27,6.53,Unspecified,0.01,0.4,,NONE,1,Imported Channel 1,UNSP,other,,6.53,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,287,5/19/1971,,Yes,DIA,USGS,3.22,10.6,Good,0,0.5,,NONE,1,Imported Channel 1,UNSP,other,,10.6,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,288,5/25/1971,,Yes,DIA,USGS,3.19,3.85,Good,-0.01,0.5,,NONE,1,Imported Channel 1,UNSP,other,,3.85,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,289,6/3/1971,,Yes,DIA,USGS,3.15,2.13,Good,0.01,0.3,,NONE,1,Imported Channel 1,UNSP,other,,2.13,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,290,6/9/1971,,Yes,DIA,USGS,3.14,2.3,Unspecified,0,0.3,,NONE,1,Imported Channel 1,UNSP,other,,2.3,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,291,6/16/1971,,Yes,DIA,USGS,3.14,1.67,Fair,0,0.3,,NONE,1,Imported Channel 1,UNSP,other,,1.67,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,292,6/23/1971,,Yes,DIA,USGS,3.12,0.88,Fair,0,0.5,,NONE,1,Imported Channel 1,UNSP,other,,0.88,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,293,6/29/1971,,Yes,DIA,USGS,3.1,1.02,Fair,0,0.3,,NONE,1,Imported Channel 1,UNSP,other,,1.02,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,294,7/6/1971,,Yes,DIA,USGS,3.09,0.68,Good,0,0.3,,NONE,1,Imported Channel 1,UNSP,other,,0.68,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,295,7/13/1971,,Yes,DIA,USGS,3.1,81,Good,0,0.3,,NONE,1,Imported Channel 1,UNSP,other,,81,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,296,7/19/1971,,Yes,DIA,USGS,3.09,0.95,Good,0,0.3,,NONE,1,Imported Channel 1,UNSP,other,,0.95,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,297,7/26/1971,,Yes,DIA,USGS,3.13,1.42,Good,0,0.4,,NONE,1,Imported Channel 1,UNSP,other,,1.42,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,298,7/28/1971,,Yes,DIA,USGS,4.91,907,Good,-0.09,1,,NONE,1,Imported Channel 1,UNSP,other,,907,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,299,8/11/1971,,Yes,DIA,USGS,2.86,2.08,Good,0.01,0.4,,NONE,1,Imported Channel 1,UNSP,other,,2.08,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,300,8/18/1971,,Yes,DIA,USGS,2.8,3.61,Good,0,0.3,,NONE,1,Imported Channel 1,UNSP,other,,3.61,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,301,8/25/1971,,Yes,DIA,USGS,3.68,22.5,Fair,-0.29,0.2,,NONE,1,Imported Channel 1,UNSP,other,,22.5,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,302,9/15/1971,,Yes,DIA,USGS,2.93,0.63,Unspecified,0,0.3,,NONE,1,Imported Channel 1,UNSP,other,,0.63,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,303,9/27/1971,,Yes,DIA,USGS,2.98,1.38,Unspecified,0,0.3,,NONE,1,Imported Channel 1,UNSP,other,,1.38,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,304,10/6/1971,,Yes,DIA,USGS,2.34,2.38,Unspecified,0,0.5,,NONE,1,Imported Channel 1,UNSP,other,,2.38,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,305,10/12/1971,,Yes,DIA,USGS,2.39,2.26,Good,-0.01,0.5,,NONE,1,Imported Channel 1,UNSP,other,,2.26,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,306,10/20/1971,,Yes,DIA,USGS,2.43,3.57,Unspecified,-0.02,0.3,,NONE,1,Imported Channel 1,UNSP,other,,3.57,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,307,10/29/1971,,Yes,DIA,USGS,2.42,2.17,Good,0,0.5,,NONE,1,Imported Channel 1,UNSP,other,,2.17,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,308,11/2/1971,,Yes,DIA,USGS,2.47,2.25,Good,0,0.3,,NONE,1,Imported Channel 1,UNSP,other,,2.25,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,309,11/18/1971,,Yes,DIA,USGS,2.63,3.5,Good,0,0.5,,NONE,1,Imported Channel 1,UNSP,other,,3.5,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,310,11/23/1971,,Yes,DIA,USGS,2.54,1.99,Unspecified,0,-999,,NONE,1,Imported Channel 1,UNSP,other,,1.99,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,311,11/30/1971,,Yes,DIA,USGS,2.53,2,Good,0,0.5,,NONE,1,Imported Channel 1,UNSP,other,,2,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,312,12/10/1971,,Yes,DIA,USGS,2.52,1.91,Good,0,0.3,,NONE,1,Imported Channel 1,UNSP,other,,1.91,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,313,12/15/1971,,Yes,DIA,USGS,2.54,1.81,Good,0,0.5,,NONE,1,Imported Channel 1,UNSP,other,,1.81,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,314,12/28/1971,,Yes,DIA,USGS,2.51,1.6,Good,0,0.5,,NONE,1,Imported Channel 1,UNSP,other,,1.6,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,315,1/7/1972,,Yes,DIA,USGS,2.5,1.77,Good,,,,NONE,1,Imported Channel 1,UNSP,other,,1.77,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8354900,316,1/19/1972,,Yes,DIA,USGS,2.48,0.97,Good,0,0.5,,NONE,1,Imported Channel 1,UNSP,other,,0.97,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
