#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# U.S. Geological Survey, National Water Information System",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Surface water measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Retrieved: 2023-11-02 13:49:11 EDT     (caww02),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Further descriptions of the columns and codes used can be found at:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Data for the following 1 site(s) are contained in this file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#  USGS 08358300 RIO GRANDE CONVEYANCE CHANNEL AT SAN MARCIAL, NM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# -----------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist
5s,15s,6s,19d,12s,1s,12s,5s,12s,12s,12s,7s,6s,21s,15s,11n,64s,4s,5s,5s,14s,14s,14s,14s,4s,4s,4s,12s,9s,12s,7s,14s
USGS,8358300,1173,8/14/1978,,Yes,PAR,USGS,4.62,0.42,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,0.42,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8358300,1174,9/1/1978,,Yes,PAR,USGS,5.02,30.6,Good,0,-999,,NONE,1,Imported Channel 1,UNSP,other,,30.6,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8358300,1175,9/12/1978,,Yes,PAR,USGS,4.35,215,Good,0,-999,,NONE,1,Imported Channel 1,UNSP,other,,215,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8358300,1176,9/18/1978,,Yes,PAR,USGS,4.3,1.46,Good,0,0.5,,NONE,1,Imported Channel 1,UNSP,other,,1.46,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8358300,1177,10/4/1978,,Yes,PAR,USGS,4.83,19.4,Good,0,0.5,,NONE,1,Imported Channel 1,UNSP,other,,19.4,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8358300,1178,10/17/1978,,Yes,PAR,USGS,5,25.6,Good,0,0.5,,NONE,1,Imported Channel 1,UNSP,other,,25.6,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8358300,1179,11/6/1978,,Yes,PAR,USGS,5.26,50.2,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,50.2,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8358300,1180,11/20/1978,,Yes,PAR,USGS,4.78,16.6,Good,0,0.5,,NONE,1,Imported Channel 1,UNSP,other,,16.6,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8358300,1181,11/30/1978,,Yes,PAR,USGS,4.91,25.3,Good,0,0.5,,NONE,1,Imported Channel 1,UNSP,other,,25.3,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8358300,1182,1/3/1979,,Yes,PAR,USGS,4.84,22.2,Good,0,0.5,,NONE,1,Imported Channel 1,UNSP,other,,22.2,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8358300,1183,1/16/1979,,Yes,MAD,USGS,4.75,16.7,Fair,0,0.5,,NONE,1,Imported Channel 1,UNSP,other,,16.7,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8358300,1184,1/31/1979,,Yes,PAR,USGS,4.67,12.7,Good,0,0.5,,NONE,1,Imported Channel 1,UNSP,other,,12.7,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8358300,1185,2/13/1979,,Yes,PAR,USGS,4.67,13.4,Good,0,0.5,,NONE,1,Imported Channel 1,UNSP,other,,13.4,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8358300,1186,3/9/1979,,Yes,PAR,USGS,4.7,15,Good,0,0.5,,NONE,1,Imported Channel 1,UNSP,other,,15,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8358300,1187,4/2/1979,,Yes,PAR,USGS,4.42,4,Unspecified,-0.01,0.5,,NONE,1,Imported Channel 1,UNSP,other,,4,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8358300,1188,4/16/1979,,Yes,PAR,USGS,4.31,1.3,Good,0,0.5,,NONE,1,Imported Channel 1,UNSP,other,,1.3,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8358300,1190,5/14/1979,,Yes,PAR,USGS,4.32,1.01,Good,0,0.5,,NONE,1,Imported Channel 1,UNSP,other,,1.01,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8358300,1191,5/29/1979,,Yes,PAR,USGS,4.32,1.35,Good,0.02,0.5,,NONE,1,Imported Channel 1,UNSP,other,,1.35,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8358300,1192,6/13/1979,,Yes,PAR,USGS,4.8,22.6,Fair,0.01,0.3,,NONE,1,Imported Channel 1,UNSP,other,,22.6,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8358300,1193,6/19/1979,,Yes,PAR,USGS,4.78,18.6,Good,0,0.5,,NONE,1,Imported Channel 1,UNSP,other,,18.6,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8358300,1194,7/6/1979,,Yes,PAR,USGS,4.77,17.4,Good,0,0.5,,NONE,1,Imported Channel 1,UNSP,other,,17.4,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8358300,1195,7/17/1979,,Yes,PAR,USGS,4.75,16.4,Good,0,0.5,,NONE,1,Imported Channel 1,UNSP,other,,16.4,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8358300,1196,7/30/1979,,Yes,,USGS,4.73,18.2,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,18.2,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8358300,1197,8/13/1979,,Yes,PAR,USGS,4.64,12.2,Good,0,0.5,,NONE,1,Imported Channel 1,UNSP,other,,12.2,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8358300,1198,8/27/1979,,Yes,PAR,USGS,4.28,1.42,Good,0,0.5,,NONE,1,Imported Channel 1,UNSP,other,,1.42,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8358300,1199,9/11/1979,,Yes,PAR,USGS,4.1,0.23,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,0.23,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8358300,1200,10/3/1979,,Yes,PAR,USGS,4.09,0.12,Good,,,,NONE,1,Imported Channel 1,UNSP,other,,0.12,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8358300,1201,10/16/1979,,Yes,PAR,USGS,4.15,0.12,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,0.12,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8358300,1202,11/2/1979,,Yes,PAR,USGS,4.16,0.17,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,0.17,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8358300,1203,11/19/1979,,Yes,PAR,USGS,4.23,0.36,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,0.36,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8358300,1204,12/4/1979,,Yes,PAR,USGS,4.25,0.33,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,0.33,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8358300,1205,12/18/1979,,Yes,PAR,USGS,4.24,0.29,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,0.29,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8358300,1206,1/3/1980,,Yes,PAR,USGS,4.26,0.33,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,0.33,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8358300,1207,1/21/1980,,Yes,PAR,USGS,4.27,0.37,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,0.37,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8358300,1208,2/4/1980,,Yes,PAR,USGS,4.28,0.37,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,0.37,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8358300,1209,2/19/1980,,Yes,PAR,USGS,4.29,0.33,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,0.33,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8358300,1210,3/3/1980,,Yes,PAR,USGS,4.3,0.37,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,0.37,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8358300,1211,3/19/1980,,Yes,MAD,USGS,4.28,1.12,Fair,0.01,0.3,,NONE,1,Imported Channel 1,UNSP,other,,1.12,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8358300,1212,4/1/1980,,Yes,PAR,USGS,4.32,0.39,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,0.39,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8358300,1213,4/15/1980,,Yes,PAR,USGS,4.38,0.37,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,0.37,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8358300,1214,5/1/1980,,Yes,PAR,USGS,5.24,39.4,Good,0,0.5,,NONE,1,Imported Channel 1,UNSP,other,,39.4,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8358300,1215,5/14/1980,,Yes,PAR,USGS,5.22,43.8,Good,0,0.5,,NONE,1,Imported Channel 1,UNSP,other,,43.8,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8358300,1216,5/27/1980,,Yes,PAR,USGS,5.65,76.4,Good,0,0.5,,NONE,1,Imported Channel 1,UNSP,other,,76.4,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8358300,1217,6/4/1980,,Yes,PAR,USGS,5.67,77,Good,0,0.5,,NONE,1,Imported Channel 1,UNSP,other,,77,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8358300,1218,6/17/1980,,Yes,PAR,USGS,5.63,72.8,Good,0,0.5,,NONE,1,Imported Channel 1,UNSP,other,,72.8,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
