#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# U.S. Geological Survey, National Water Information System",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Surface water measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Retrieved: 2023-11-02 13:45:42 EDT     (vaww02),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Further descriptions of the columns and codes used can be found at:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Data for the following 1 site(s) are contained in this file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#  USGS 08317400 RIO GRANDE BELOW COCHITI DAM, NM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# -----------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist
5s,15s,6s,19d,12s,1s,12s,5s,12s,12s,12s,7s,6s,21s,15s,11n,64s,4s,5s,5s,14s,14s,14s,14s,4s,4s,4s,12s,9s,12s,7s,14s
USGS,8317400,74,2/4/1970,,Yes,Perkins,USGS,2.84,554,Good,,,,NONE,1,Imported Channel 1,UNSP,QSCMM,unkno,554,202,356,1.56,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8317400,1,9/25/1970,,Yes,Tribble,USGS,4,828,Fair,,,Clear,NONE,1,Imported Channel 1,UNSP,QSCMM,unkno,828,188,316,2.62,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8317400,2a,10/13/1970,,Yes,Waite,USGS,4.14,810,Good,,,Clear,NONE,1,Imported Channel 1,UNSP,QSCMM,unkno,810,185,284,2.85,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8317400,3,11/4/1970,,Yes,McCrack,USGS,4.25,922,Good,,,Clear,NONE,1,Imported Channel 1,UNSP,QSCMM,unkno,922,178,324,2.85,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8317400,4,11/25/1970,,Yes,Tribble,USGS,4.66,1600,Good,,,Clear,NONE,1,Imported Channel 1,UNSP,QSCMM,unkno,1600,177,386,4.14,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8317400,5,12/18/1970,,Yes,Waite,USGS,3.8,608,Good,,,Clear,NONE,1,Imported Channel 1,UNSP,QSCMM,unkno,608,161,212,2.87,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8317400,6a,1/21/1971,,Yes,RLM,USGS,5.43,1010,Good,,,IceCover,NONE,1,Imported Channel 1,UNSP,QSCMM,unkno,1010,181,446,2.26,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8317400,7a,1/28/1971,,Yes,Tribble,USGS,4.19,869,Good,,,Clear,NONE,1,Imported Channel 1,UNSP,QSCMM,unkno,869,185,3.08,2.82,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8317400,8,2/18/1971,,Yes,Waite,USGS,4.25,1010,Good,,,Clear,NONE,1,Imported Channel 1,UNSP,QSCMM,unkno,1010,173,344,2.94,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8317400,9,3/8/1971,,Yes,Tribble,USGS,4.09,811,Good,,,Clear,NONE,1,Imported Channel 1,UNSP,QSCMM,unkno,811,200,316,2.57,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8317400,10,3/31/1971,,Yes,Waite,USGS,5.4,2510,Good,,,Clear,NONE,1,Imported Channel 1,UNSP,QSCMM,unkno,2510,175,580,4.33,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8317400,11,4/19/1971,,Yes,McCrack,USGS,4,668,Good,,,Clear,NONE,1,Imported Channel 1,UNSP,QSCMM,unkno,668,184,306,2.18,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8317400,12,5/3/1971,,Yes,Ortiz,USGS,4.2,1100,Good,,,Clear,NONE,1,Imported Channel 1,UNSP,QSCMM,unkno,1100,178,348,3.14,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8317400,13,5/3/1971,,Yes,Ortiz,USGS,4.22,1110,Good,,,Clear,NONE,1,Imported Channel 1,UNSP,QSCMM,unkno,1110,178,354,3.14,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8317400,14,5/13/1971,,Yes,Tribble,USGS,4.24,925,Good,,,Clear,NONE,1,Imported Channel 1,UNSP,QSCMM,unkno,925,213,363,2.55,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
