#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# U.S. Geological Survey, National Water Information System",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Surface water measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Retrieved: 2023-11-02 13:46:35 EDT     (vaww02),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Further descriptions of the columns and codes used can be found at:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Data for the following 1 site(s) are contained in this file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#  USGS 08329928 RIO GRANDE NR ALAMEDA, NM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# -----------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist
5s,15s,6s,19d,12s,1s,12s,5s,12s,12s,12s,7s,6s,21s,15s,11n,64s,4s,5s,5s,14s,14s,14s,14s,4s,4s,4s,12s,9s,12s,7s,14s
USGS,8329928,20,10/27/1989 11:30,MDT,Yes,DO,USGS,2.76,115,Fair,-0.02,0.5,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,115,,,0,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,21,10/31/1989 9:50,MST,Yes,WH,USGS,2.67,60.1,Good,-0.02,0.7,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,60.1,,,0,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,22,12/1/1989 9:00,MST,Yes,LM,USGS,2.97,171,Good,0,0.8,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,171,210,138,1.24,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,23,12/29/1989 9:00,MST,Yes,TQ,USGS,3.86,757,Good,0,0.8,Clear,NONE,1,Imported Channel 1,CWAY,unspe,unkno,757,,,0,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,24,1/31/1990 10:45,MST,Yes,SL,USGS,3.63,518,Unspecified,0.01,0.5,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,518,215,292,1.77,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,25,2/28/1990 10:37,MST,Yes,SL,USGS,3.35,292,Unspecified,,,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,292,214,184,1.59,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,26,3/30/1990 10:00,MST,Yes,KM / TQ,USGS,3.86,875,Good,0.01,1,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,875,,,0,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,27,4/30/1990 9:00,MDT,Yes,LM / KM,USGS,3.82,681,Good,0,0.7,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,681,260,384,1.77,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,28,5/31/1990 8:30,MDT,Yes,TQ / KM,USGS,4.21,1190,Fair,0,1,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,1190,,,0,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,29,6/29/1990 9:15,MDT,Yes,K/T,USGS,3.43,428,Good,0,0.8,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,428,230,248,1.73,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,30,7/31/1990 13:40,MDT,Yes,LM,USGS,3.5,398,Good,0,1,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,398,239,258,1.54,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,31,8/30/1990 13:40,MDT,Yes,M,USGS,3.7,398,Good,0,1,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,398,239,258,1.54,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,32,9/27/1990 10:10,MDT,Yes,GS,USGS,3.53,260,Good,-0.02,0.5,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,260,218,175,1.48,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,33,10/11/1990 14:00,MDT,Yes,GR,USGS,3.71,359,Good,-0.02,0.5,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,359,242,242,1.48,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,34,10/30/1990 10:15,MST,Yes,T/G,USGS,3.58,307,Good,0.01,0.5,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,307,244,226,1.36,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,35,12/11/1990 11:50,MST,Yes,JWH/GS,USGS,3.91,699,Fair,0,0.7,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,699,228,382,1.83,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,36,1/8/1991 14:08,MST,Yes,GR,USGS,4.08,933,Good,0,1,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,933,233,407,2.29,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,37,1/10/1991 11:25,MST,Yes,DO,USGS,4.11,1040,Fair,0,0.8,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,1040,240,417,2.49,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,38,1/31/1991 12:25,MST,Yes,JWH/GS,USGS,3.94,742,Good,0,0.8,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,742,235,380,1.95,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,39,2/21/1991 9:30,MST,Yes,q/s,USGS,4.01,869,Good,0,0.8,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,869,264,468,1.86,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,40,3/27/1991 10:55,MST,Yes,HS,USGS,4.43,1290,Fair,0.01,0.7,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,1290,270,553,2.33,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,41,5/2/1991 9:30,MDT,Yes,LM,USGS,5.39,3580,Good,0,1.5,Clear,NONE,1,Imported Channel 1,CWAY,unspe,unkno,3580,,,0,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,42,5/16/1991 11:00,MDT,Yes,GS,USGS,5.28,3440,Poor,0.01,1.8,Clear,NONE,1,Imported Channel 1,CRAN,unspe,unkno,3440,,1190,2.89,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,43,5/30/1991 9:22,MDT,Yes,GS,USGS,5.64,3920,Unspecified,0,1,Clear,NONE,1,Imported Channel 1,CRAN,unspe,unkno,3920,,,0,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,44,6/28/1991 13:30,MDT,Yes,QM,USGS,5.15,3490,Unspecified,0,1,Clear,NONE,1,Imported Channel 1,CRAN,unspe,unkno,3490,,,0,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,45,7/31/1991 8:35,MDT,Yes,MQ,USGS,3.92,953,Good,0,1,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,953,246,430,2.22,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,46,8/29/1991 8:35,MDT,Yes,GK,USGS,3.11,399,Fair,0,0.6,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,399,133,204,1.96,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,47,9/26/1991 9:00,MDT,Yes,TQ,USGS,3.54,645,Good,0,1,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,645,248,343,1.88,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,48,10/31/1991 11:30,MST,Yes,BG,USGS,2.93,320,Fair,0.04,1,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,320,142,190,1.68,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,49,11/12/1991 11:20,MST,Yes,BG,USGS,4.4,1480,Fair,0,1.3,Clear,NONE,1,Imported Channel 1,CRAN,unspe,unkno,1480,350,589,2.51,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,50,11/27/1991 9:20,MST,Yes,BG,USGS,4.36,1430,Good,-0.01,1.2,Clear,NONE,1,Imported Channel 1,CRAN,unspe,unkno,1430,328,618,2.31,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,51,12/31/1991 9:30,MST,Yes,BG,USGS,3.98,1050,Good,0.01,1,Clear,NONE,1,Imported Channel 1,CRAN,unspe,unkno,1050,307,5.16,2.03,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,52,1/30/1992 10:30,MST,Yes,BG,USGS,3.88,822,Good,0,1,Clear,NONE,1,Imported Channel 1,CRAN,unspe,unkno,822,,,0,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,53,2/19/1992 9:15,MST,Yes,BCG/GS,USGS,3.06,307,Good,0,0.8,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,307,26,212,1.45,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,54,4/8/1992 10:00,MDT,Yes,BCG/RM,USGS,5.21,2890,Fair,0.02,2.8,Clear,NONE,1,Imported Channel 1,CRAN,unspe,unkno,2890,431,1040,2.77,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,55,4/30/1992 9:30,MDT,Yes,BCG/RM,USGS,6.16,4430,Excellent,-0.02,4,,NONE,1,Imported Channel 1,CWAY,unspe,unkno,4430,627,1500,2.95,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,56,5/12/1992 9:15,MDT,Yes,BCG/JRS,USGS,6.29,6830,Good,-0.01,1.2,Clear,NONE,1,Imported Channel 1,CRAN,unspe,unkno,6830,625,2210,3.09,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,57,6/8/1992 11:15,MDT,Yes,BG,USGS,5.17,3690,Good,0.04,1.2,Clear,NONE,1,Imported Channel 1,CRAN,unspe,unkno,3690,,1310,2.82,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,58,6/29/1992 9:50,MDT,Yes,BCG,USGS,3.39,912,Good,0,0.5,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,912,244,479,1.9,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,59,7/31/1992 9:30,MDT,Yes,BCG/GM,USGS,3.24,734,Good,0,1,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,734,267,364,2.02,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,60,8/31/1992 10:30,MDT,Yes,BCG,USGS,3.7,1120,Good,0.02,1,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,1120,270,553,2.03,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,61,9/30/1992 8:20,MDT,Yes,BCG,USGS,3.08,566,Good,0,0.5,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,566,268,330,1.72,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,62,11/2/1992 10:00,MST,Yes,T/D,USGS,3.12,608,Good,0,0.8,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,608,268,339,1.79,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,63,11/30/1992 9:40,MST,Yes,BCG/DM,USGS,3.21,614,Good,0,0.6,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,614,264,345,1.78,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,64,1/4/1993 12:00,MST,Yes,BCG/DM,USGS,3.7,1160,Good,0.01,1,Clear,NONE,1,Imported Channel 1,CRAN,unspe,unkno,1160,,,0,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,65,1/28/1993 10:15,MST,Yes,BCG/GHS,USGS,3.65,1030,Fair,0,1.1,Clear,NONE,1,Imported Channel 1,CRAN,unspe,unkno,1030,,,0,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,66,2/26/1993 9:20,MST,Yes,BCG/DJM,USGS,4.58,1940,Fair,0,1,Clear,NONE,1,Imported Channel 1,CRAN,unspe,unkno,1940,,,0,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,67,3/31/1993 11:20,MST,Yes,BCG/DJM,USGS,4.99,2840,Fair,0,1.1,Clear,NONE,1,Imported Channel 1,CRAN,unspe,unkno,2840,,,0,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,68,4/30/1993 9:50,MDT,Yes,BCG,USGS,5.81,4880,Good,-0.08,1.2,Clear,NONE,1,Imported Channel 1,CRAN,unspe,unkno,4880,,,0,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,69,5/27/1993 9:45,MDT,Yes,BCG,USGS,6.27,5900,Good,-0.04,1.8,Clear,NONE,1,Imported Channel 1,CRAN,unspe,unkno,5900,,,0,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,70,6/30/1993 9:45,MDT,Yes,BCG,USGS,4.87,3550,Good,-0.02,1,Clear,NONE,1,Imported Channel 1,CWAY,unspe,unkno,3550,,,0,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,71,7/30/1993 10:30,MDT,Yes,BCG,USGS,3.02,811,Good,0,0.6,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,811,275,441,1.84,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,72,9/30/1993 10:30,MDT,Yes,BCG,USGS,2.71,438,Good,0,1,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,438,270,266,1.65,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8329928,73,10/22/1993 10:00,MDT,Yes,BCG,USGS,2.85,450,Good,0,1,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,450,272,267,1.69,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
