#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# U.S. Geological Survey, National Water Information System",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Surface water measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Retrieved: 2023-11-02 13:48:04 EDT     (caww01),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Further descriptions of the columns and codes used can be found at:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Data for the following 1 site(s) are contained in this file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#  USGS 08332010 RIO GRANDE FLOODWAY NEAR BERNARDO, NM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# -----------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist
5s,15s,6s,19d,12s,1s,12s,5s,12s,12s,12s,7s,6s,21s,15s,11n,64s,4s,5s,5s,14s,14s,14s,14s,4s,4s,4s,12s,9s,12s,7s,14s
USGS,8332010,824,8/10/1967 15:30,MDT,Yes,Baca,USGS,4.64,530,Good,0.06,,,NONE,1,Imported Channel 1,WADE,QSCMM,VPAA,530,83,133,3.98,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,ATGA,
USGS,8332010,825,8/11/1967 17:10,MDT,Yes,LBB/VWN,USGS,6.74,5600,Good,,1.3,Unspecifed,NONE,1,Imported Channel 1,UNSP,QSCMM,VADCP,5600,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8332010,826,8/14/1967 13:40,MDT,Yes,VWN,USGS,5.76,2460,Fair,,,,NONE,1,Imported Channel 1,UNSP,QSCMM,unkno,2460,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8332010,827,8/16/1967 18:35,MDT,Yes,VWN,USGS,5.8,2340,Good,0.09,,Clear,NONE,1,Imported Channel 1,CWAY,QSCMM,VPAA,2340,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,ATGA,
USGS,8332010,828a,8/21/1967 11:57,MDT,Yes,LBB,USGS,4.79,388,Good,-0.02,1.1,,NONE,1,Imported Channel 1,WADE,QSCMM,VPAA,388,,158,2.46,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,DNST,5280
USGS,8332010,828,5/13/1968,,Yes,Baca,USGS,,1010,Good,,,Unspecifed,NONE,1,Imported Channel 1,UNSP,QSCMM,unkno,1010,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8332010,829,5/16/1968,,Yes,Baca,USGS,5.39,1320,Good,,,,NONE,1,Imported Channel 1,UNSP,QSCMM,unkno,1320,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8332010,830,5/23/1968,,Yes,Baca,USGS,5.21,1160,Good,,,Clear,NONE,1,Imported Channel 1,UNSP,QSCMM,unkno,1160,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8332010,831,5/29/1968,,Yes,Baca,USGS,5.42,1910,Good,,,,NONE,1,Imported Channel 1,UNSP,QSCMM,unkno,1910,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
