#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# U.S. Geological Survey, National Water Information System",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Surface water measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Retrieved: 2023-11-02 13:47:33 EDT     (caww01),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Further descriptions of the columns and codes used can be found at:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Data for the following 1 site(s) are contained in this file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#  USGS 08331160 RIO GRANDE NEAR BOSQUE FARMS, NM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# -----------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist
5s,15s,6s,19d,12s,1s,12s,5s,12s,12s,12s,7s,6s,21s,15s,11n,64s,4s,5s,5s,14s,14s,14s,14s,4s,4s,4s,12s,9s,12s,7s,14s
USGS,8331160,1,3/9/2006 12:49,MST,Yes,MDC/GHS,USGS,13.79,255,Fair,-0.02,0.9,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,255,94,155,1.65,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8331160,2,3/21/2006 13:00,MST,Yes,GHS/MDC,USGS,13.71,197,Fair,0,1,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,197,73,107,1.84,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8331160,3,4/7/2006 12:30,MDT,Yes,GHS,USGS,13.44,109,Fair,0,0.8,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,109,50,64.3,1.7,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8331160,4,4/28/2006 12:57,MDT,Yes,mdc,USGS,13.59,152,Poor,0,1.1,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,152,181,135,1.12,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8331160,5,6/2/2006 11:48,MDT,Yes,JJG/RMH,USGS,13.99,347,Fair,-0.04,1.5,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,347,109,194,1.79,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8331160,6,6/2/2006 12:48,MDT,Yes,RH /JJG,USGS,13.99,340,Unspecified,,,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,340,110,198,1.72,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8331160,7,9/6/2006 10:30,MDT,Yes,GHS,USGS,12.83,66.9,Fair,-0.02,0.7,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,66.9,94,48.9,1.37,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8331160,8,9/19/2006 11:33,MDT,Yes,GHS,USGS,12.79,59.4,Fair,0,0.8,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,59.4,43,36.1,1.65,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8331160,9,10/25/2006 10:36,MDT,Yes,GHS,USGS,12.59,18,Fair,0,0.5,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,18,26,11.6,1.55,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8331160,10,3/2/2007 13:27,MST,Yes,JEB/RMH,USGS,14.46,575,Fair,-0.01,1.2,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,575,332,489,1.18,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8331160,11,4/27/2007 12:00,MDT,Yes,GHS,USGS,14.09,388,Fair,-0.07,2,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,388,170,223,1.74,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8331160,12,7/25/2007 10:43,MDT,Yes,JEB/PSM,USGS,14.25,392,Poor,0.65,1.1,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,392,108,173,2.3,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8331160,13,9/6/2007 11:33,MDT,Yes,JEB,USGS,12.73,25.8,Fair,0.06,0.7,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,25.8,19,15.6,1.65,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8331160,14,10/23/2007 11:02,MDT,Yes,GHS/JEB,USGS,13,42.7,Fair,0.05,0.6,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,42.7,54,42.3,1.01,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8331160,15,12/20/2007 13:12,MST,Yes,PSM,USGS,14.78,813,Fair,0.01,1,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,813,328,421,1.93,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8331160,16,1/9/2008 15:03,MST,Yes,PSM/JDL,USGS,14.93,901,Poor,0.03,1.3,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,901,263,484,1.86,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8331160,17,7/15/2008 11:24,MDT,Yes,mls,USGS,14.18,635,Fair,-0.03,1.5,DebrisLight,NONE,1,Imported Channel 1,WADE,unspe,unkno,635,250,357,1.78,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8331160,18,8/6/2008 13:37,MDT,Yes,mls,USGS,14.58,915,Fair,-0.14,1.1,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,915,284,452,2.93,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
