#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# U.S. Geological Survey, National Water Information System",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Surface water measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Retrieved: 2023-11-02 13:48:42 EDT     (caww02),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Further descriptions of the columns and codes used can be found at:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Data for the following 1 site(s) are contained in this file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#  USGS 08355050 RIO GRANDE AT BRIDGE NEAR ESCONDIDA, NM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# -----------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist
5s,15s,6s,19d,12s,1s,12s,5s,12s,12s,12s,7s,6s,21s,15s,11n,64s,4s,5s,5s,14s,14s,14s,14s,4s,4s,4s,12s,9s,12s,7s,14s
USGS,8355050,1,6/23/2005 11:45,MDT,Yes,lkm/lr,USGS,29.4,3460,Fair,-0.02,1.2,Clear,NONE,1,Imported Channel 1,CRAN,unspe,unkno,3460,132,7.23,4.78,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8355050,2,7/14/2005 10:00,MDT,Yes,brg,USGS,26.34,312,Good,0,0.7,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,312,137,195,1.6,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8355050,3,7/14/2005 11:00,MDT,Yes,brg/jg,USGS,26.35,325,Good,0.01,1,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,325,137,187,1.73,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8355050,4,7/20/2005 12:49,MDT,Yes,brg,USGS,25.72,154,Good,0,1,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,154,96.8,151,1,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8355050,5,8/19/2005 11:00,MDT,Yes,dwl,USGS,26.05,261,Good,0,0.5,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,261,11,156,1.68,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8355050,6,9/23/2005 10:08,MDT,Yes,dwl,USGS,24.83,32.9,Good,0,0.5,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,32.9,46.8,30,1.1,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8355050,7,11/3/2005 8:17,MST,Yes,GHS,USGS,27.38,667,Fair,0,0.9,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,667,138,301,2.22,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8355050,8,12/14/2005 15:15,MST,Yes,GHS/MDC,USGS,27.19,561,Fair,0.02,0.8,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,561,136,273,2.05,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8355050,9,2/23/2006 15:56,MST,Yes,MDC/GHS,USGS,27.69,664,Fair,0.04,1.1,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,664,153,291,2.28,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8355050,10,3/23/2006 14:30,MST,Yes,GHS/MDC,USGS,26.35,186,Fair,0,0.7,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,186,103,146,1.27,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8355050,11,4/7/2006 8:30,MDT,Yes,GHS,USGS,26.12,131,Fair,0,0.8,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,131,62,80.7,1.62,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8355050,12,4/27/2006 15:04,MDT,Yes,GHS,USGS,26.23,161,Fair,0,0.9,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,161,72,105,1.53,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
