#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# U.S. Geological Survey, National Water Information System",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Surface water measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Retrieved: 2023-11-02 13:45:06 EDT     (sdww01),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Further descriptions of the columns and codes used can be found at:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Data for the following 1 site(s) are contained in this file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#  USGS 08313000 RIO GRANDE AT OTOWI BRIDGE, NM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# -----------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist
5s,15s,6s,19d,12s,1s,12s,5s,12s,12s,12s,7s,6s,21s,15s,11n,64s,4s,5s,5s,14s,14s,14s,14s,4s,4s,4s,12s,9s,12s,7s,14s
USGS,8313000,992,1/6/1969,,Yes,MCC,USGS,2.58,709,Good,-0.01,0.8,,NONE,1,Imported Channel 1,UNSP,other,,709,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8313000,993,1/17/1969,,Yes,CHA/SCH,USGS,2.78,820,Unspecified,0,1.3,,NONE,1,Imported Channel 1,UNSP,other,,820,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8313000,994,1/29/1969,,Yes,MCC,USGS,3.79,1640,Good,-0.02,1.4,,NONE,1,Imported Channel 1,UNSP,other,,1640,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8313000,995,2/12/1969,,Yes,MIL/SCH,USGS,2.65,7.34,Unspecified,0.02,1,,NONE,1,Imported Channel 1,UNSP,other,,7.34,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8313000,996,2/25/1969,,Yes,CHA,USGS,2.74,730,Unspecified,0.03,2,,NONE,1,Imported Channel 1,UNSP,other,,730,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8313000,997,2/25/1969,,Yes,CHA,USGS,2.78,798,Unspecified,0,1.8,,NONE,1,Imported Channel 1,UNSP,other,,798,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8313000,998,3/13/1969,,Yes,TRI,USGS,2.86,825,Fair,0,1,,NONE,1,Imported Channel 1,UNSP,other,,825,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8313000,999,3/26/1969,,Yes,SCH,USGS,2.96,929,Unspecified,0,1.1,,NONE,1,Imported Channel 1,UNSP,other,,929,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8313000,1000,4/1/1969,,Yes,MCC,USGS,3.96,1110,Good,-0.01,1.4,,NONE,1,Imported Channel 1,UNSP,other,,1110,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
